heron_id,metric_label,metric_date_range,metric_value,metric_group,metric_unit,metric_description,metric_value_transformed,iqr_distance,outlier_score,outlier_method,metric_name
eus_MAnKZE5VSHALVndULuY2mq,balance_average,last_180_days,-34.81513966,balance,amount,Average balance,-3.578370699542268,2.3772410298494693,2.3772410298494693,IQR,balance_average
eus_MAnKZE5VSHALVndULuY2mq,balance_average,last_365_days,-43574.23382,balance,amount,Average balance,-10.682244236294652,4.031924930717517,4.031924930717517,IQR,balance_average
eus_MAnKZE5VSHALVndULuY2mq,balance_average,last_3_calendar_months,-3706.625435,balance,amount,Average balance,-8.218146906211182,3.457970149404639,3.457970149404639,IQR,balance_average
eus_MAnKZE5VSHALVndULuY2mq,balance_average,last_12_calendar_months,-43599.30507,balance,amount,Average balance,-10.682819426330996,4.032058908003029,4.032058908003029,IQR,balance_average
eus_ESryUAcNpCWEJRV5WHdWGL,balance_average,last_180_days,-178.4294413,balance,amount,Average balance,-5.189782045970634,2.752582229100334,2.752582229100334,IQR,balance_average
eus_ESryUAcNpCWEJRV5WHdWGL,balance_average,last_6_calendar_months,-456.998674,balance,amount,Average balance,-6.1268662889134875,2.9708544439043614,2.9708544439043614,IQR,balance_average
eus_UA8i8h8gaJBD3JJcS6uBFD,balance_average,last_90_days,-118.5264286,balance,amount,Average balance,-4.783537506751971,2.657956910197488,2.657956910197488,IQR,balance_average
eus_UA8i8h8gaJBD3JJcS6uBFD,balance_average,last_120_days,-204.1126316,balance,amount,Average balance,-5.323559250700185,2.783742551116753,2.783742551116753,IQR,balance_average
eus_UA8i8h8gaJBD3JJcS6uBFD,balance_average,last_180_days,-3666.046437,balance,amount,Average balance,-8.207141831476282,3.455406770439983,3.455406770439983,IQR,balance_average
eus_UA8i8h8gaJBD3JJcS6uBFD,balance_average,last_365_days,-38389.45635,balance,amount,Average balance,-10.555564175134402,4.002417725010886,4.002417725010886,IQR,balance_average
eus_UA8i8h8gaJBD3JJcS6uBFD,balance_average,last_3_calendar_months,-2646.326087,balance,amount,Average balance,-7.881305385799497,3.379510666970787,3.379510666970787,IQR,balance_average
eus_UA8i8h8gaJBD3JJcS6uBFD,balance_average,last_6_calendar_months,-5407.180608,balance,amount,Average balance,-8.595668013614855,3.5459050057090087,3.5459050057090087,IQR,balance_average
eus_UA8i8h8gaJBD3JJcS6uBFD,balance_average,last_12_calendar_months,-41335.68271,balance,amount,Average balance,-10.629505585942495,4.019640675481307,4.019640675481307,IQR,balance_average
eus_JRS7GD3SnPgBRnUPNKwBt4,balance_average,last_90_days,-108.5480769,balance,amount,Average balance,-4.696363511346087,2.637651733588389,2.637651733588389,IQR,balance_average
eus_JRS7GD3SnPgBRnUPNKwBt4,balance_average,last_120_days,-295.4576852,balance,amount,Average balance,-5.691904493919226,2.8695401009693233,2.8695401009693233,IQR,balance_average
eus_JRS7GD3SnPgBRnUPNKwBt4,balance_average,last_180_days,-522.967619,balance,amount,Average balance,-6.261429886610077,3.002197938069831,3.002197938069831,IQR,balance_average
eus_JRS7GD3SnPgBRnUPNKwBt4,balance_average,last_365_days,-702.0655524,balance,amount,Average balance,-6.555450134120649,3.0706831901746137,3.0706831901746137,IQR,balance_average
eus_JRS7GD3SnPgBRnUPNKwBt4,balance_average,last_3_calendar_months,-383.076413,balance,amount,Average balance,-5.950841524978908,2.929853524964889,2.929853524964889,IQR,balance_average
eus_JRS7GD3SnPgBRnUPNKwBt4,balance_average,last_6_calendar_months,-628.5652486,balance,amount,Average balance,-6.44502949958238,3.044963243817343,3.044963243817343,IQR,balance_average
eus_JRS7GD3SnPgBRnUPNKwBt4,balance_average,last_12_calendar_months,-616.4385205,balance,amount,Average balance,-6.4255795016021935,3.0404328142758787,3.0404328142758787,IQR,balance_average
eus_FZmyvTWZpAboBowGvhf5nS,balance_average,last_30_days,-81.6316,balance,amount,Average balance,-4.414392173952951,2.5719729978850014,2.5719729978850014,IQR,balance_average
eus_FZmyvTWZpAboBowGvhf5nS,balance_average,last_1_calendar_months,-140.3812903,balance,amount,Average balance,-4.951460427168838,2.6970706910894218,2.6970706910894218,IQR,balance_average
eus_8baSmLak35Gqa4RGQTNfcn,balance_average,last_90_days,-1409.158764,balance,amount,Average balance,-7.25145757561503,3.232802110558944,3.232802110558944,IQR,balance_average
eus_8baSmLak35Gqa4RGQTNfcn,balance_average,last_120_days,-882.8457983,balance,amount,Average balance,-6.784282611109643,3.1239844509178547,3.1239844509178547,IQR,balance_average
eus_8baSmLak35Gqa4RGQTNfcn,balance_average,last_180_days,-1628.537821,balance,amount,Average balance,-7.396051708195438,3.266481987052095,3.266481987052095,IQR,balance_average
eus_8baSmLak35Gqa4RGQTNfcn,balance_average,last_365_days,-1212.819918,balance,amount,Average balance,-7.101527622889791,3.1978793775247953,3.1978793775247953,IQR,balance_average
eus_8baSmLak35Gqa4RGQTNfcn,balance_average,last_1_calendar_months,-6001.299355,balance,amount,Average balance,-8.69989790063126,3.5701829598622,3.5701829598622,IQR,balance_average
eus_8baSmLak35Gqa4RGQTNfcn,balance_average,last_3_calendar_months,-1899.802609,balance,amount,Average balance,-7.55003150174735,3.3023480373317304,3.3023480373317304,IQR,balance_average
eus_8baSmLak35Gqa4RGQTNfcn,balance_average,last_6_calendar_months,-2156.329006,balance,amount,Average balance,-7.67662616419676,3.331835351373448,3.331835351373448,IQR,balance_average
eus_8baSmLak35Gqa4RGQTNfcn,balance_average,last_12_calendar_months,-1349.942685,balance,amount,Average balance,-7.208557912929996,3.222809621133232,3.222809621133232,IQR,balance_average
eus_mLhNtvsJZfbEZHPSsktJAj,balance_average,last_1_calendar_months,-3213.199355,balance,amount,Average balance,-8.07533357144293,3.424705068790839,3.424705068790839,IQR,balance_average
eus_FZrQuiLyMmBsraGQf3JRQA,balance_average,last_30_days,-280.9352381,balance,amount,Average balance,-5.641677392436367,2.857840853258764,2.857840853258764,IQR,balance_average
eus_FZrQuiLyMmBsraGQf3JRQA,balance_average,last_120_days,-207.9487387,balance,amount,Average balance,-5.342088952503367,2.7880586188371286,2.7880586188371286,IQR,balance_average
eus_FZrQuiLyMmBsraGQf3JRQA,balance_average,last_180_days,-2159.410468,balance,amount,Average balance,-7.678053514105997,3.332167819695625,3.332167819695625,IQR,balance_average
