heron_id,metric_label,metric_date_range,metric_value
eus_264GctgNhcqHemTqT2DgGy,net_operating_cashflow,last_12_calendar_months,381374.64
eus_264GctgNhcqHemTqT2DgGy,gross_operating_cashflow_profit_and_loss,last_12_calendar_months,446841.21
eus_264GctgNhcqHemTqT2DgGy,net_operating_cashflow_profit_and_loss,last_12_calendar_months,381374.64
eus_264GctgNhcqHemTqT2DgGy,deposit_days,last_30_days,11
eus_264GctgNhcqHemTqT2DgGy,deposit_days,last_90_days,36
eus_264GctgNhcqHemTqT2DgGy,deposit_days,last_120_days,46
eus_264GctgNhcqHemTqT2DgGy,deposit_days,last_180_days,68
eus_264GctgNhcqHemTqT2DgGy,deposit_days,last_365_days,129
eus_264GctgNhcqHemTqT2DgGy,deposit_days,last_1_calendar_months,12
eus_264GctgNhcqHemTqT2DgGy,deposit_days,last_3_calendar_months,37
eus_264GctgNhcqHemTqT2DgGy,deposit_days,last_6_calendar_months,68
eus_264GctgNhcqHemTqT2DgGy,deposit_days,last_12_calendar_months,130
eus_264GctgNhcqHemTqT2DgGy,nsf_fees,last_30_days,0
eus_264GctgNhcqHemTqT2DgGy,nsf_days,last_30_days,0
eus_264GctgNhcqHemTqT2DgGy,nsf_fees,last_90_days,0
eus_264GctgNhcqHemTqT2DgGy,nsf_days,last_90_days,0
eus_264GctgNhcqHemTqT2DgGy,nsf_fees,last_120_days,0
eus_264GctgNhcqHemTqT2DgGy,nsf_days,last_120_days,0
eus_264GctgNhcqHemTqT2DgGy,nsf_fees,last_180_days,0
eus_264GctgNhcqHemTqT2DgGy,nsf_days,last_180_days,0
eus_264GctgNhcqHemTqT2DgGy,debt_collection,last_365_days,0
eus_264GctgNhcqHemTqT2DgGy,atm_withdrawals,last_365_days,42846
eus_264GctgNhcqHemTqT2DgGy,nsf_fees,last_365_days,0
eus_264GctgNhcqHemTqT2DgGy,nsf_days,last_365_days,0
eus_264GctgNhcqHemTqT2DgGy,tax_payments,last_365_days,1
eus_264GctgNhcqHemTqT2DgGy,tax_payment_amount,last_365_days,5483
eus_264GctgNhcqHemTqT2DgGy,nsf_days,next_30_days,0.50767029268674235
eus_264GctgNhcqHemTqT2DgGy,nsf_days,next_60_days,0.13552798487532028
eus_264GctgNhcqHemTqT2DgGy,nsf_days,next_90_days,0.040667684610248965
eus_264GctgNhcqHemTqT2DgGy,nsf_days,next_180_days,0.40221189789863715
eus_264GctgNhcqHemTqT2DgGy,nsf_fees,last_6_calendar_months,0
eus_264GctgNhcqHemTqT2DgGy,negative_balance_days,last_30_days,0
eus_264GctgNhcqHemTqT2DgGy,negative_balance_days_by_account,last_30_days,0
eus_264GctgNhcqHemTqT2DgGy,negative_balance_days,last_90_days,0
eus_264GctgNhcqHemTqT2DgGy,negative_balance_days_by_account,last_90_days,0
eus_264GctgNhcqHemTqT2DgGy,negative_balance_days,last_120_days,0
eus_264GctgNhcqHemTqT2DgGy,negative_balance_days_by_account,last_120_days,0
eus_264GctgNhcqHemTqT2DgGy,negative_balance_days,last_180_days,0
eus_264GctgNhcqHemTqT2DgGy,negative_balance_days_by_account,last_180_days,0
eus_264GctgNhcqHemTqT2DgGy,negative_balance_days,last_365_days,0
eus_264GctgNhcqHemTqT2DgGy,negative_balance_days_by_account,last_365_days,2
eus_264GctgNhcqHemTqT2DgGy,negative_balance_days_by_account,last_6_calendar_months,0
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
